,Unnamed: 0,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,Sacramento River,,,,,,,,,,,,
1,Shasta computed inflow,5893.0,4487.0,10324.0,,,,,,,,,
2,At Keswick,3733.0,3500.0,3087.0,,,,,,,,,
3,At Bend Bridge,5876.0,4751.0,6161.0,,,,,,,,,
4,At Vina Bridge,7377.0,5562.0,8124.0,,,,,,,,,
5,At Ord Ferry,6982.0,4703.0,8265.0,,,,,,,,,
6,At Colusa,7519.0,5500.0,8570.0,,,,,,,,,
7,Below Wilkins Slough,8067.0,5759.0,8937.0,,,,,,,,,
8,At Verona,15046.0,10425.0,22178.0,,,,,,,,,
9,"Sacramento at ""I"" Street",17772.0,13426.0,25702.0,,,,,,,,,
10,Miscellaneous Stations,,,,,,,,,,,,
11,Folsom computed inflow,3347.0,1914.0,8989.0,,,,,,,,,
12,American R at Nimbus Dam,2694.0,2782.0,4206.0,,,,,,,,,
13,Kings River at Pine Flat,267.0,304.0,252.0,,,,,,,,,
14,San Joaquin River,,,,,,,,,,,,
15,At Friant Dam,396.0,407.0,299.0,,,,,,,,,
16,Near Vernalis,2270.0,2136.0,3459.0,,,,,,,,,
17,Putah Creek,,,,,,,,,,,,
18,Berryessa computed inflow,408.0,62.0,942.0,,,,,,,,,
19,Putah Creek - Lake Solano,34.0,32.0,47.0,,,,,,,,,
20,Stanislaus River,,,,,,,,,,,,
21,New Melones computed inflow,920.0,478.0,2259.0,,,,,,,,,
22,At Tulloch Dam,976.0,1489.0,606.0,,,,,,,,,
23,At Orange Blossom,923.0,1230.0,286.0,,,,,,,,,
