,Unnamed: 0,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,Sacramento River,,,,,,,,,,,,
1,Shasta computed inflow,4537.0,4412.0,13457.0,12884.0,6273.0,3850.0,3042.0,2857.0,2798.0,2732.0,6567.0,15046.0
2,At Keswick,4470.0,4109.0,3650.0,4259.0,9191.0,11873.0,14194.0,12506.0,8268.0,6661.0,5882.0,4666.0
3,At Bend Bridge,7564.0,5534.0,8195.0,8369.0,10096.0,12397.0,14990.0,12816.0,8283.0,6844.0,7582.0,13154.0
4,At Vina Bridge,7886.0,6009.0,10154.0,11119.0,10099.0,11513.0,13407.0,11508.0,7762.0,6644.0,7742.0,20006.0
5,At Ord Ferry,7665.0,5969.0,10137.0,11137.0,7298.0,8269.0,10180.0,8688.0,6544.0,5474.0,5854.0,23423.0
6,At Colusa,7646.0,6501.0,10074.0,11697.0,7215.0,7990.0,9750.0,8887.0,7389.0,5369.0,5900.0,22364.0
7,Below Wilkins Slough,7724.0,6766.0,10139.0,12436.0,5846.0,6399.0,8196.0,7412.0,6775.0,5379.0,5518.0,19273.0
8,At Verona,13815.0,12366.0,18481.0,23250.0,11657.0,11960.0,17587.0,16413.0,15013.0,10982.0,10954.0,41432.0
9,"Sacramento at ""I"" Street",15446.0,14108.0,19405.0,25643.0,15706.0,14610.0,21254.0,19185.0,16682.0,12654.0,12698.0,45905.0
10,Miscellaneous Stations,,,,,,,,,,,,
11,Folsom computed inflow,1768.0,1212.0,5629.0,6990.0,4054.0,1655.0,1368.0,1479.0,1313.0,984.0,1969.0,7933.0
12,American R at Nimbus Dam,1737.0,1568.0,1143.0,2437.0,4025.0,3304.0,4297.0,3162.0,1895.0,1742.0,1892.0,5128.0
13,Kings River at Pine Flat,270.0,387.0,317.0,1087.0,2026.0,5093.0,5342.0,2627.0,605.0,206.0,117.0,104.0
14,San Joaquin River,,,,,,,,,,,,
15,At Friant Dam,197.0,372.0,361.0,465.0,964.0,350.0,351.0,350.0,239.0,379.0,523.0,352.0
16,Near Vernalis,1822.0,1598.0,1611.0,2483.0,2963.0,1450.0,886.0,770.0,947.0,1770.0,1275.0,1915.0
17,Putah Creek,,,,,,,,,,,,
18,Berryessa computed inflow,335.0,104.0,1508.0,685.0,154.0,68.0,87.0,72.0,35.0,9.0,597.0,2676.0
19,Putah Creek - Lake Solano,29.0,27.0,72.0,57.0,44.0,48.0,49.0,38.0,35.0,31.0,37.0,78.0
20,Stanislaus River,,,,,,,,,,,,
21,New Melones computed inflow,707.0,347.0,1048.0,1619.0,1089.0,699.0,624.0,686.0,633.0,381.0,614.0,1552.0
22,At Tulloch Dam,737.0,453.0,772.0,2177.0,2580.0,2310.0,2052.0,1857.0,1363.0,952.0,303.0,310.0
23,At Orange Blossom,421.0,324.0,243.0,1156.0,1061.0,711.0,386.0,286.0,245.0,596.0,238.0,274.0
