,Unnamed: 0,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,Sacramento River,,,,,,,,,,,,
1,Shasta computed inflow,16554.0,9901.0,26614.0,8184.0,4941.0,3764.0,2865.0,2611.0,2604.0,4913.0,6886.0,12564.0
2,At Keswick,3047.0,3046.0,7445.0,4680.0,6027.0,8083.0,9937.0,10145.0,8378.0,6156.0,4866.0,6484.0
3,At Bend Bridge,14726.0,6700.0,18958.0,7292.0,7577.0,9131.0,10342.0,10448.0,9059.0,7643.0,7762.0,13727.0
4,At Vina Bridge,21398.0,8402.0,25163.0,8139.0,7396.0,8237.0,9098.0,9378.0,8195.0,7429.0,8770.0,14875.0
5,At Ord Ferry,22014.0,8733.0,27965.0,7604.0,4916.0,5430.0,6087.0,7180.0,7471.0,6295.0,8079.0,19527.0
6,At Colusa,19933.0,10642.0,25892.0,8660.0,4998.0,5152.0,5710.0,7057.0,7690.0,6104.0,7873.0,17683.0
7,Below Wilkins Slough,17056.0,10943.0,20686.0,8444.0,3672.0,3790.0,4109.0,6221.0,7595.0,5805.0,7963.0,16436.0
8,At Verona,25876.0,17586.0,44432.0,15787.0,9436.0,10265.0,14100.0,15374.0,14800.0,10214.0,13232.0,32471.0
9,"Sacramento at ""I"" Street",25872.0,20951.0,53639.0,19063.0,13412.0,13705.0,18457.0,18260.0,16197.0,11180.0,14385.0,38017.0
10,Miscellaneous Stations,,,,,,,,,,,,
11,Folsom computed inflow,5331.0,4484.0,11416.0,5737.0,4725.0,2642.0,1687.0,1520.0,1229.0,2015.0,2759.0,9037.0
12,American R at Nimbus Dam,586.0,3111.0,9921.0,3260.0,4452.0,4029.0,5025.0,3370.0,1660.0,1093.0,1263.0,9571.0
13,Kings River at Pine Flat,111.0,78.0,117.0,732.0,2332.0,5096.0,5514.0,2834.0,1243.0,157.0,110.0,104.0
14,San Joaquin River,,,,,,,,,,,,
15,At Friant Dam,146.0,187.0,210.0,307.0,326.0,297.0,647.0,562.0,421.0,396.0,334.0,216.0
16,Near Vernalis,1613.0,1049.0,2083.0,1747.0,1847.0,594.0,289.0,243.0,276.0,1205.0,1162.0,1064.0
17,Putah Creek,,,,,,,,,,,,
18,Berryessa computed inflow,1265.0,256.0,2522.0,281.0,87.0,27.0,2.0,0.0,0.0,170.0,238.0,1076.0
19,Putah Creek - Lake Solano,53.0,42.0,125.0,77.0,52.0,65.0,51.0,37.0,28.0,31.0,55.0,45.0
20,Stanislaus River,,,,,,,,,,,,
21,New Melones computed inflow,1417.0,1299.0,2860.0,2087.0,2324.0,1744.0,839.0,784.0,696.0,703.0,591.0,1745.0
22,At Tulloch Dam,211.0,210.0,454.0,1878.0,2196.0,1541.0,1524.0,1331.0,939.0,1058.0,284.0,209.0
23,At Orange Blossom,261.0,204.0,245.0,1176.0,1595.0,522.0,293.0,240.0,177.0,801.0,356.0,290.0
