,Unnamed: 0,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,Sacramento River,,,,,,,,,,,,
1,Shasta computed inflow,5167.0,12976.0,4264.0,3711.0,3020.0,2764.0,2452.0,2228.0,2399.0,2292.0,2616.0,5017.0
2,At Keswick,2961.0,3185.0,2992.0,4083.0,7071.0,6997.0,7007.0,6854.0,6767.0,6083.0,4321.0,3886.0
3,At Bend Bridge,4924.0,8170.0,4315.0,4887.0,8019.0,7562.0,7395.0,7318.0,7309.0,6978.0,5367.0,6690.0
4,At Vina Bridge,5944.0,10678.0,5020.0,5282.0,7854.0,7400.0,7229.0,7224.0,7236.0,7022.0,5728.0,8656.0
5,At Ord Ferry,6077.0,10879.0,4760.0,4500.0,5672.0,5079.0,4846.0,5276.0,6134.0,6022.0,4787.0,7717.0
6,At Colusa,7165.0,11486.0,4995.0,4199.0,5063.0,4328.0,4049.0,4835.0,6167.0,5727.0,4271.0,7597.0
7,Below Wilkins Slough,6848.0,11266.0,4986.0,4093.0,4187.0,3522.0,3127.0,4014.0,5926.0,5574.0,4210.0,7397.0
8,At Verona,9694.0,16214.0,7016.0,5730.0,6625.0,5578.0,5974.0,6361.0,7709.0,7191.0,6459.0,10351.0
9,"Sacramento at ""I"" Street",10733.0,16858.0,7807.0,6076.0,7582.0,7419.0,8494.0,8000.0,8303.0,7680.0,6945.0,10814.0
10,Miscellaneous Stations,,,,,,,,,,,,
11,Folsom computed inflow,1246.0,3024.0,1050.0,841.0,860.0,867.0,731.0,889.0,699.0,376.0,472.0,2258.0
12,American R at Nimbus Dam,924.0,891.0,798.0,621.0,1355.0,2276.0,2901.0,2085.0,878.0,598.0,568.0,517.0
13,Kings River at Pine Flat,186.0,159.0,150.0,166.0,208.0,911.0,2329.0,721.0,320.0,217.0,108.0,156.0
14,San Joaquin River,,,,,,,,,,,,
15,At Friant Dam,165.0,156.0,179.0,193.0,218.0,257.0,896.0,1205.0,200.0,213.0,177.0,174.0
16,Near Vernalis,926.0,872.0,639.0,854.0,399.0,192.0,133.0,166.0,243.0,607.0,944.0,751.0
17,Putah Creek,,,,,,,,,,,,
18,Berryessa computed inflow,124.0,1219.0,113.0,52.0,13.0,47.0,-17.0,-27.0,-14.0,-21.0,6.0,209.0
19,Putah Creek - Lake Solano,45.0,48.0,60.0,77.0,61.0,62.0,58.0,47.0,41.0,38.0,55.0,45.0
20,Stanislaus River,,,,,,,,,,,,
21,New Melones computed inflow,517.0,997.0,301.0,281.0,383.0,318.0,331.0,365.0,455.0,661.0,369.0,867.0
22,At Tulloch Dam,300.0,304.0,1181.0,1225.0,914.0,1071.0,1216.0,1098.0,922.0,494.0,360.0,218.0
23,At Orange Blossom,275.0,319.0,483.0,525.0,169.0,216.0,186.0,197.0,202.0,463.0,406.0,240.0
