,Unnamed: 0,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,Sacramento River,,,,,,,,,,,,
1,Shasta computed inflow,7521.0,8845.0,24011.0,15689.0,11829.0,9480.0,4753.0,3558.0,3493.0,3767.0,4134.0,3614.0
2,At Keswick,8029.0,3960.0,20702.0,12410.0,8450.0,12255.0,12306.0,11433.0,9741.0,7460.0,6850.0,5126.0
3,At Bend Bridge,11764.0,7426.0,32799.0,20135.0,11297.0,15543.0,13310.0,12216.0,10103.0,8206.0,8145.0,6567.0
4,At Vina Bridge,12958.0,9045.0,37635.0,22556.0,13316.0,16220.0,13152.0,11590.0,10190.0,8936.0,8509.0,6711.0
5,At Ord Ferry,14175.0,9706.0,39492.0,23620.0,11407.0,14572.0,10427.0,9186.0,9167.0,8343.0,7371.0,6041.0
6,At Colusa,15628.0,10684.0,27687.0,22677.0,11055.0,14067.0,9458.0,8464.0,8903.0,7878.0,6598.0,5435.0
7,Below Wilkins Slough,15718.0,11014.0,20371.0,19517.0,10423.0,13651.0,8883.0,7390.0,8829.0,7956.0,6122.0,5382.0
8,At Verona,30310.0,21764.0,47090.0,46243.0,29097.0,32513.0,17252.0,14574.0,18310.0,14587.0,11076.0,13300.0
9,"Sacramento at ""I"" Street",35232.0,24181.0,58104.0,54529.0,34528.0,40432.0,22166.0,17553.0,22019.0,18440.0,13457.0,15368.0
10,Miscellaneous Stations,,,,,,,,,,,,
11,Folsom computed inflow,5509.0,5056.0,14083.0,11174.0,9057.0,10611.0,5361.0,2259.0,2180.0,1251.0,932.0,1078.0
12,American R at Nimbus Dam,4630.0,2487.0,14246.0,9362.0,6866.0,9685.0,5138.0,3485.0,3621.0,3824.0,2363.0,2054.0
13,Kings River at Pine Flat,2452.0,1338.0,2351.0,7746.0,7198.0,8822.0,8707.0,5706.0,2962.0,1785.0,859.0,449.0
14,San Joaquin River,,,,,,,,,,,,
15,At Friant Dam,2680.0,207.0,2224.0,6418.0,3314.0,3750.0,2149.0,351.0,349.0,462.0,153.0,99.0
16,Near Vernalis,12108.0,8667.0,12825.0,25770.0,13026.0,10534.0,8761.0,5394.0,4374.0,4673.0,2431.0,1694.0
17,Putah Creek,,,,,,,,,,,,
18,Berryessa computed inflow,473.0,1450.0,3534.0,587.0,260.0,219.0,71.0,35.0,26.0,-8.0,55.0,-53.0
19,Putah Creek - Lake Solano,32.0,54.0,165.0,51.0,43.0,45.0,44.0,35.0,30.0,26.0,31.0,38.0
20,Stanislaus River,,,,,,,,,,,,
21,New Melones computed inflow,2097.0,1898.0,4507.0,3899.0,4950.0,6728.0,3391.0,1328.0,1263.0,878.0,926.0,766.0
22,At Tulloch Dam,226.0,329.0,857.0,3095.0,3134.0,3144.0,3695.0,3401.0,2756.0,2670.0,594.0,532.0
23,At Orange Blossom,302.0,324.0,546.0,1999.0,1636.0,1708.0,1863.0,1599.0,1315.0,1850.0,385.0,347.0
