,Unnamed: 0,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,Sacramento River,,,,,,,,,,,,
1,Shasta computed inflow,6191.0,6195.0,6727.0,6829.0,3901.0,3539.0,2806.0,2857.0,2870.0,2775.0,3054.0,2892.0
2,At Keswick,4533.0,4114.0,4521.0,6949.0,11672.0,13399.0,13681.0,10437.0,6932.0,6084.0,4363.0,3924.0
3,At Bend Bridge,6862.0,5845.0,6068.0,8760.0,12097.0,13717.0,14503.0,10784.0,7643.0,7095.0,4986.0,4426.0
4,At Vina Bridge,8099.0,6534.0,6570.0,8805.0,11525.0,12853.0,13296.0,10274.0,7377.0,7064.0,5417.0,4639.0
5,At Ord Ferry,8523.0,6676.0,6509.0,7656.0,8787.0,9629.0,10092.0,8072.0,6750.0,5680.0,5334.0,4416.0
6,At Colusa,10007.0,7738.0,6764.0,7365.0,8402.0,9127.0,9677.0,7974.0,6755.0,4816.0,4970.0,4310.0
7,Below Wilkins Slough,10468.0,7890.0,6614.0,7067.0,6971.0,7657.0,8113.0,6942.0,6669.0,4777.0,5031.0,4593.0
8,At Verona,19600.0,13675.0,12181.0,11454.0,11182.0,12050.0,15400.0,15990.0,12688.0,7485.0,8251.0,7743.0
9,"Sacramento at ""I"" Street",22984.0,16089.0,13901.0,12451.0,11790.0,13841.0,18122.0,18131.0,14372.0,8749.0,9540.0,9013.0
10,Miscellaneous Stations,,,,,,,,,,,,
11,Folsom computed inflow,2824.0,2040.0,2514.0,2759.0,2162.0,1499.0,1226.0,1306.0,900.0,478.0,476.0,537.0
12,American R at Nimbus Dam,3214.0,2245.0,1719.0,1222.0,1031.0,2400.0,3226.0,2637.0,1840.0,1356.0,1337.0,1261.0
13,Kings River at Pine Flat,124.0,178.0,490.0,882.0,1487.0,3288.0,3494.0,990.0,300.0,217.0,102.0,118.0
14,San Joaquin River,,,,,,,,,,,,
15,At Friant Dam,385.0,399.0,457.0,908.0,406.0,370.0,353.0,350.0,356.0,434.0,450.0,441.0
16,Near Vernalis,1757.0,2270.0,1580.0,2180.0,2355.0,753.0,573.0,522.0,830.0,1373.0,1169.0,1016.0
17,Putah Creek,,,,,,,,,,,,
18,Berryessa computed inflow,337.0,118.0,228.0,682.0,365.0,85.0,75.0,68.0,30.0,0.0,0.0,0.0
19,Putah Creek - Lake Solano,26.0,27.0,46.0,68.0,46.0,53.0,54.0,42.0,38.0,34.0,37.0,48.0
20,Stanislaus River,,,,,,,,,,,,
21,New Melones computed inflow,918.0,867.0,965.0,965.0,787.0,464.0,547.0,602.0,599.0,441.0,559.0,476.0
22,At Tulloch Dam,341.0,1313.0,1475.0,2445.0,2687.0,1723.0,1925.0,1674.0,1252.0,795.0,325.0,269.0
23,At Orange Blossom,244.0,1197.0,485.0,1279.0,1438.0,307.0,326.0,253.0,255.0,603.0,304.0,237.0
